"Category (Col. 1)","States/Uts (Col. 2)","Transport - Multi-Axled/ Articulated Vehicles/ Trucks and Lorries (Col. 3)","Transport - Light Motor Vehicle (Goods) (Col. 4)","Transport - Buses (Col. 5)","Transport - Taxis (Col. 6)","Transport - Light Motor Vehicle (Passenger) (Col. 7)","Transport - Total Transport (Col. 8)","Non-Transport - Two Wheelers (Col. 9)","Non-Transport - Cars (Col. 10)","Non-Transport - Jeeps (Col. 11)","Non-Transport - Omni Buses (Col. 12)","Non-Transport - Tractors (Col. 13)","Non-Transport - Trailers (Col. 14)","Non-Transport - Others (Col. 15)","Non-Transport - Total Non Transport (Col. 16)","Grand Total (Tpt + Non-Tpt.) (Col. 8 + Col. 16) (Col. 17)"
"STATE","Andhra Pradesh","145466","167612","38269","73324","397126","1013986","6147523","454054","10878","21875","126862","93155","13929","6868276","7882262"
"STATE","Arunachal Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","151279"
"STATE","Assam","133617","109792","19846","53859","91936","409050","1520260","508135","16128","1555","35082","19527","0","2100687","2509737"
"STATE","Bihar","91823","31921","29384","85119","202385","440632","3489796","235762","113377","NA","315048","157877","25104","4336964","4777596"
"STATE","Chhattisgarh","110629","76331","52783","20960","33100","293803","3471643","226044","20251","6112","171648","107423","17003","4020124","4313927"
"STATE","Goa","43402","15840","11224","17616","4186","115807","743037","216414","NA","0","3562","NA","4848","967861","1083668"
"STATE","Gujarat","352225","589984","76435","108268","678364","1805276","13704879","2008748","180556","NA","610077","353613","57418","16915291","18720567"
"STATE","Haryana","348732","167901","50207","40444","144334","751638","4988518","1420621","148479","2433","603663","0","12198","7175912","7927550"
"STATE","Himachal Pradesh","76650","66358","14358","34796","5907","198069","545152","245106","17612","2806","28367","235","40057","879335","1077404"
"STATE","Jammu & Kashmir","45802","67077","29695","37092","19777","199443","644458","338475","26288","2687","23427","3356","6137","1044828","1244271"
"STATE","Jharkhand","67674","50085","8323","30031","63743","219856","1522228","191006","61892","4767","37811","27287","759","1845750","2065606"
"STATE","Karnataka","274971","331381","80911","205174","380790","1404626","10644368","1741831","45257","123892","442705","301049","81233","13380335","14784961"
"STATE","Kerala","89571","409745","414748","150361","731417","1912392","5722224","1690690","137547","3872","13045","3656","164894","7735928","9648320"
"STATE","Madhya Pradesh","150921","146267","45976","174916","122095","640175","8831709","637626","58792","NA","714844","227970","30011","10500952","11141127"
"STATE","Maharashtra","491582","868632","120750","163390","695619","2339973","18603835","3113773","496255","19352","572395","372054","44538","23222202","25562175"
"STATE","Manipur","10852","7827","3807","6484","19688","48658","207540","27523","16492","1770","4210","950","0","258485","307143"
"STATE","Meghalaya","28340","11486","5120","21504","19542","85992","85996","68236","19197","65","850","2847","3921","181112","267104"
"STATE","Mizoram","5324","8723","1231","10720","4548","30546","90122","19276","5735","0","315","0","5492","120940","151486"
"STATE","Nagaland","90458","20149","5436","8163","17065","141271","75158","62346","31282","497","2483","1030","3393","176189","333761"
"STATE","Odisha","148519","154516","25001","91902","105951","525889","4126257","272976","47379","3668","113384","99305","29737","4692706","5218595"
"STATE","Punjab","125898","75860","30160","18539","66734","317191","4729594","616549","63527","NA","517743","1172","17163","5945748","6262939"
"STATE","Rajasthan","472365","91787","97650","123275","167504","952581","9272233","814079","357188","NA","907139","75709","NA","11426348","12378929"
"STATE","Sikkim","3371","1364","272","12458","NA","17465","3633","14300","7509","0","186","0","117","25745","43210"
"STATE","Tamil Nadu","526485","419747","171581","349029","361045","1827887","18097975","1972354","60036","20246","226124","77426","236621","20690782","22518669"
"STATE","Telangana","129600","199156","43422","82296","296524","751001","5815937","878981","15035","45002","119047","68108","151605","7093715","7844716"
"STATE","Tripura","8082","8690","2484","12076","18866","50198","200721","20760","5604","0","554","706","3591","231936","282134"
"STATE","Uttarakhand","27831","34958","10716","32830","16128","122473","1336114","294481","13333","1641","51410","5923","1662","1704564","1827037"
"STATE","Uttar Pradesh","217609","294022","51866","98303","252552","914353","17398458","1572217","491013","28594","1197985","15166","17745","20721178","21635531"
"STATE","West Bengal","212623","283167","56878","125162","84089","761919","5280246","1001618","10276","148602","125526","21106","53948","6641322","7403241"
"TOTAL STATES","TOTAL STATES","4430422","4710378","1498533","2188091","5001015","18292150","147299614","20663981","2476918","439436","6965492","2036650","1023124","180905215","199364945"
"UT","Andaman & Nicobar Islands","2638","0","1039","489","4406","8572","72800","20370","NA","NA","NA","NA","559","93729","102301"
"UT","Chandigarh","1815","8216","2561","3908","2659","19159","395565","261752","NA","NA","0","NA","NA","657317","676476"
"UT","Dadra & Nagar Haveli","9887","4355","714","165","654","15775","66874","28124","606","21","96","62","98","95881","111656"
"UT","Daman & Diu","4191","1706","566","66","1280","7809","64140","26961","610","51","409","221","178","92570","100379"
"UT","Delhi","7503","145903","19695","62405","11301","354665","5698242","2730071","67144","5","100","0","493","8496055","8850720"
"UT","Lakshadweep","0","1337","37","435","566","2375","10943","180","132","0","102","0","499","11856","14231"
"UT","Puducherry","4603","11510","4251","1060","6431","27855","689568","76547","1321","3877","2367","722","324","774726","802581"
"TOTAL Uts","TOTAL Uts","30637","173027","28863","68528","27297","436210","6998132","3144005","69813","3954","3074","1005","2151","10222134","10658344"
