service_id,date,exception_type
SUN/HOL,20150815,1
SUN/HOL,20150518,1
SUN/HOL,20150917,1
SUN/HOL,20150925,1
SUN/HOL,20151002,1
SUN/HOL,20151022,1
SUN/HOL,20151024,1
SUN/HOL,20151111,1
SUN/HOL,20151112,1
SUN/HOL,20151224,1
SUN/HOL,20151225,1
FH,20150104,1
FH,20150126,1
FH,20150217,1
FH,20150219,1
FH,20150306,1
FH,20150321,1
FH,20150328,1
FH,20150402,1
FH,20150403,1
FH,20150414,1
FH,20150501,1
FH,20150504,1
FH,20150718,1
FH,20150815,1
FH,20150518,1
FH,20150917,1
FH,20150925,1
MF,20150104,2
MF,20150126,2
MF,20150217,2
MF,20150219,2
MF,20150306,2
MF,20150321,2
MF,20150328,2
MF,20150402,2
MF,20150403,2
MF,20150414,2
MF,20150501,2
MF,20150504,2
MF,20150718,2
MF,20150815,2
MF,20150518,2
MF,20150917,2
MF,20150925,2
MF,20151002,2
MF,20151022,2
MF,20151024,2
MF,20151111,2
MF,20151112,2
MF,20151224,2
MF,20151225,2
SUN,20150104,2
SUN,20150126,2
SUN,20150217,2
SUN,20150219,2
SUN,20150306,2
SUN,20150321,2
SUN,20150328,2
SUN,20150402,2
SUN,20150403,2
SUN,20150414,2
SUN,20150501,2
SUN,20150504,2
SUN,20150718,2
SUN,20150815,2
SUN,20150518,2
SUN,20150917,2
SUN,20150925,2
SUN,20151002,2
SUN,20151022,2
SUN,20151024,2
SUN,20151111,2
SUN,20151112,2
SUN,20151224,2
SUN,20151225,2
TUE,20150104,2
TUE,20150126,2
TUE,20150217,2
TUE,20150219,2
TUE,20150306,2
TUE,20150321,2
TUE,20150328,2
TUE,20150402,2
TUE,20150403,2
TUE,20150414,2
TUE,20150501,2
TUE,20150504,2
TUE,20150718,2
TUE,20150815,2
TUE,20150518,2
TUE,20150917,2
TUE,20150925,2
TUE,20151002,2
TUE,20151022,2
TUE,20151024,2
TUE,20151111,2
TUE,20151112,2
TUE,20151224,2
TUE,20151225,2
FH,20151002,1
FH,20151022,1
FH,20151024,1
FH,20151111,1
FH,20151112,1
FH,20151224,1
FH,20151225,1
2nd&4thSAT&HOL,20150104,2
2nd&4thSAT&HOL,20150126,2
2nd&4thSAT&HOL,20150217,2
2nd&4thSAT&HOL,20150219,2
2nd&4thSAT&HOL,20150306,2
2nd&4thSAT&HOL,20150321,2
2nd&4thSAT&HOL,20150328,2
2nd&4thSAT&HOL,20150402,2
2nd&4thSAT&HOL,20150403,2
2nd&4thSAT&HOL,20150414,2
2nd&4thSAT&HOL,20150501,2
2nd&4thSAT&HOL,20150504,2
2nd&4thSAT&HOL,20150718,2
2nd&4thSAT&HOL,20150815,2
2nd&4thSAT&HOL,20150518,2
2nd&4thSAT&HOL,20150917,2
2nd&4thSAT&HOL,20150925,2
2nd&4thSAT&HOL,20151002,2
2nd&4thSAT&HOL,20151022,2
2nd&4thSAT&HOL,20151024,2
2nd&4thSAT&HOL,20151111,2
MF&HOL,20150104,1
MF&HOL,20150126,1
MF&HOL,20150217,1
MF&HOL,20150219,1
MF&HOL,20150306,1
MF&HOL,20150321,1
MF&HOL,20150328,1
MF&HOL,20150402,1
MF&HOL,20150403,1
MF&HOL,20150414,1
MF&HOL,20150501,1
MF&HOL,20150504,1
MF&HOL,20150718,1
MF&HOL,20150815,1
MF&HOL,20150518,1
MF&HOL,20150917,1
MF&HOL,20150925,1
MF&HOL,20151002,1
MF&HOL,20151022,1
MF&HOL,20151024,1
MF&HOL,20151111,1
MF&HOL,20151112,1
MF&HOL,20151224,1
MF&HOL,20151225,1
SAT/SUN/HOL,20150104,1
SAT/SUN/HOL,20150126,1
SAT/SUN/HOL,20150217,1
SAT/SUN/HOL,20150219,1
