route_id,agency_id,route_short_name,route_long_name,route_type
3070,BEST,307,VAISHALI NGR.-MAROL DEPOT,3
0010,BEST,1,R.C.CHURCH-BND RECLAMATION BUS STN.,3
0011,BEST,1LTD,COLABA BUS STN.-SANTACRUZ DEPOT,3
0017,BEST,AS-1,BACKBAY DEPOT-CADBURY JN.(THANE),3
0019,BEST,A-1 AIRPORT-EXP,CHH. SHIVAJI INT.AIRPORT(SAHARA)-C.B.D. BELAPUR BUS STN.,3
0021,BEST,2LTD,ELECTRIC HOUSE-AGARKAR CHK.,3
0027,BEST,AS-2,NEHRU PLANETARIUM-MIRA RD.STN.(E),3
0029,BEST,A-2 AIRPORT EXP.,CHH. SHIVAJI INT.AIRPORT(SAHARA)-CADBURY JN.(THANE),3
0030,BEST,3,NAVY NGR.-JIJAMATA UDN.,3
0032,BEST,3-EXTRA,NAVY NGR.-JIJAMATA UDN.,3
0037,BEST,AS-3,NEHRU PLANETARIUM-CADBURY JN.(THANE),3
0039,BEST,A-3 AIRPORT EXP.,CHH. SHIVAJI INT.AIRPORT(SAHARA)-BORIVLI STN.(W) BUS STN.,3
0041,BEST,4LTD,HUTATMA CHK./MUMBAI UNIVERSITY-OSHIWARA DEPOT,3
0043,BEST,4LTD-EXTRA,HUTATMA CHK./MUMBAI UNIVERSITY-VESAVA-YARI RD.BUS STN.,3
0047,BEST,AS-4,BACKBAY DEPOT-OSHIWARA DEPOT,3
0048,BEST,AIRPORT-4 EXP,DOMESTIC AIRPORT (SANTACRUZ )-CADBURY JN.(THANE),3
0050,BEST,5,MANTRALAYA-KURLA BUS STN (E),3
0057,BEST,AS-5,BANDRA(E) BUS STN-CADBURY JN.(THANE),3
0061,BEST,6LTD,COLABA DEPOT-TATA POWER CENTRE(CHEMBUR),3
0063,BEST,6L EXTRA,COLABA DEPOT-MAHUL VILLAGE,3
0066,BEST,C-6 EXP,ELECTRIC HOUSE-DR.AMBEDKAR GARDEN BUS STN.,3
0067,BEST,AS-6,BACKBAY DEPOT-MAHESHWARI UDN.,3
0071,BEST,7LTD,BACKBAY DEPOT-VIKHROLI PARK SITE,3
0081,BEST,8LTD,MANTRALAYA-SHIVAJI NGR.TERMINUS,3
0086,BEST,C-8 EXP,MANTRALAYA-SHIVAJI NGR.DEPOT,3
0088,BEST,A-8 EXP,ELECTRIC HOUSE-MULUND-W CHECK NAKA BUS STN.,3
0090,BEST,9,COLABA BUS STN.-NADKARNI PARK,3
0096,BEST,C-9 EXP,DR.SHYAMAPRASAD MUKHERJI CHK.-GHATKOPAR BUS STN./GKD,3
0097,BEST,AS-9,DR.SHYAMAPRASAD MUKHERJI CHK.-GHATKOPAR STN.(E)-1,3
0101,BEST,10-LTD.,HUTATMA CHK. ( O.C.S.)-GHATKOPAR BUS STN./GKD,3
0111,BEST,11LTD,NAVY NGR.-BANDRA CLY.BUS STN,3
0116,BEST,SPASTIC SOCIETY,NAVY NGR.-RANI LAXMIBAI CHK.,3
0126,BEST,C-12 EXP,SANTACRUZ DEPOT-DAHISAR BUS STN.,3
0138,BEST,A-13EXP,BACKBAY DEPOT-HIRANANDANI EST.,3
0139,BEST,A-13EXP.EXT.,BACKBAY DEPOT-LODHA COMPLEX,3
0140,BEST,14,DR.SHYAMAPRASAD MUKHERJI CHK.-PRATIKSHA NGR.DEPOT,3
0150,BEST,15,MANTRALAYA-PRATIKSHA NGR.DEPOT,3
0161,BEST,16LTD,WADALA DEPOT-VASHINAKA M.M.R.D.A.CLY.,3
0180,BEST,18,PT.PALUSKAR CHK.-JIJAMATA UDN.,3
0191,BEST,19LTD,MANTRALAYA-SHIVAJI NGR.DEPOT,3
0201,BEST,20LTD,DR.SHYAMAPRASAD MUKHERJI CHK.-SHIVAJI NGR.DEPOT,3
0211,BEST,21LTD,R.C.CHURCH-TROMBAY,3
0216,BEST,C-21 EXP,DR.SHYAMAPRASAD MUKHERJI CHK.-TROMBAY,3
0221,BEST,22LTD,COLABA DEPOT-MAROL MAROSHI BUS STN.,3
0251,BEST,25LTD,BACKBAY DEPOT-VIHAR LAKE,3
0270,BEST,27,WORLI DEPOT-VAISHALI NGR.,3
0280,BEST,28,SWAMI D.SARASWATI CHK.-J.V.P.D.BUS STN.,3
0282,BEST,28EXTRA,DR.SHYAMAPRASAD MUKHERJI CHK.-J.V.P.D.BUS STN.,3
0301,BEST,30LTD,MUMBAI CENTRAL DEPOT-VIKHROLI DEPOT,3
0324,BEST,32 RING,GOREGAON BUS STN(W)-GOREGAON BUS STN(W),3
0330,BEST,33,PT.PALUSKAR CHK.-GOREGAON BUS STN(W),3
0350,BEST,35,COM.P.K.KURNE CHK.-MAROL DEPOT,3
0370,BEST,37,J.MEHTA MARG-KURLA STN (W),3
0380,BEST,38,BANDRA BUS STN(W)-MALAD DEPOT,3
0390,BEST,39,COM.P.K.KURNE CHK.-SEEPZ BUS STN.,3
