stop_id,stop_name,stop_lat,stop_lon
3971,MULUND-W CHECK NAKA BUS STN.,19.1835445097,72.9534138696
3029,RAM GANESH GADKARI CHK.,19.025273336,72.8404460379
2425,JIJAMATA BHOSLE MARG JN.,19.069988548,72.9083503381
1634,VIDYA VIHAR S.T.WORKSHOP,19.0811500146,72.89151781
4661,HIGHWAY APT.,19.0483422838,72.8682287285
5071,PRABHDEVI TEMPLE,19.0160673867,72.8313423341
4915,L.T.HOSPITAL/DHARAVI POLICE STN.,19.036323346,72.8570046313
4829,MADANPURA,18.9695712856,72.8289791674
4775,BORIVLI STN.(W) BUS STN.,19.2342436419,72.8551064019
4732,U.T.C.FIRE SECURITY,19.1101241934,73.0313123715
2994,MAHATMA PHULE MARKET,18.9460691078,72.8351066353
654,PUSHPA PARK,19.1915453675,72.8584036924
292,MEHRABAD BAUG,19.1432707569,72.8377692593
5096,BHAKTI PARK,19.0284535647,72.8774320095
3075,REAY RD.BRIDGE,18.9770909576,72.8439676719
1229,KANDIVLI STN.(W),19.2058021041,72.8516543116
2089,ADARSH NGR.,19.1880141255,72.863698373
809,KUMBHARWADA,19.0540868043,72.8922723004
2279,FOUR BUNGALOWS MARKET,19.1267316344,72.8218474505
4026,KHARGHAR RLY.STN.SUB-WAY,19.0271204242,73.0571277319
1947,PANDURANG WADI,19.1722244422,72.851792696
3077,SHANTARAM PUJARE CHK.,18.9883316711,72.8358189084
3087,DAINIK SHIVNER,18.9958655,72.8226988
216,MATUNGA POLICE STN.,19.0306969734,72.8578706005
2892,BAHALEPADA,19.1637391943,72.8846452806
4475,REAY RD.RLY.STN.,18.9759562412,72.8436065446
833,MAHAPOUR NIWAS/SHIVAJI PARK,19.0258791287,72.8359009142
4370,MUMBAI CRICKET ASSO.COMPLEX,19.0658724968,72.8633149122
32,CITYLIGHT CINEMA,19.0302593381,72.8417167644
4419,GOKUL NGR.,19.1938223484,72.8703632839
1182,SHIPPING CORPORATION,19.1237059401,72.8976239154
3393,KALA NGR.,19.0555628221,72.8477240989
2455,MHADA COLONY (FOUR BUNGALOWS),19.147843,72.832048
3085,VASANTRAO NAIK CHK.,18.9685991752,72.8150332566
3763,KANE NGR.,19.0283704174,72.8664293162
3479,MAHARASHTRA KATA,19.1012597584,72.8879202863
1402,BANK OF INDIA,19.1273144174,72.8339957063
3799,DOCKYARD RLY.STN.,18.9661384521,72.8442769251
1312,MT.POINSUR CHURCH,19.2446844178,72.8520707771
1889,TERNA ENGG. COLLEGE(KOPAR-KHAIRANE),19.1109042925,73.002489695
5159,KHERWADI JUN.,19.0659068087,72.8465139882
1875,KANNAMWAR NGR.BLDG NO 150,19.1159455855,72.9407512776
4443,KHEWRA CIRCLE,19.2417828164,72.9690428495
2396,MULUND COURT,19.1760732309,72.9601168392
2057,ROYAL HOTEL ( SRUSHTI ),19.2715985829,72.8671660271
3086,VASANTRAO NAIK CHK.,18.9692891171,72.8161490555
1123,NARAYAN DABHOLKAR MARG,18.9525197273,72.7952340635
370,CHANDIVLI JN.,19.1103436169,72.8880952221
4754,SESSION COURT,19.1757401245,72.8668675157
4254,GANESH NGR./GOKUL ANAND HOTEL,19.244202755,72.8644186968
1625,NEHRU LIBRARY (VIDYANGRY),19.0743100856,72.8604836751
1898,RABALE POLICE STN.,19.1479938581,73.0006636636
687,SANDHURST RD.STN.,18.9609586465,72.838853506
3246,NAVRANG TALKIES,19.1239085091,72.8424071138
3898,PRINCESS STREET,18.9454446395,72.8271953675
4101,GOKHALE VIDYALAYA(KHARGHAR),19.0407427614,73.0659157616
3010,GHATKOPAR STN.(W),19.0862059035,72.9085646751
2031,PRATAP NGR.,19.1392495682,72.9232208901
646,VIRWANI EST./SARVODAYA NGR.,19.1703670263,72.8588598024
3040,WADALA STN.(W),19.0169915161,72.8587051194
2445,GOREGAON CHECK NAKA NO.2,19.1264025011,72.8795981704
420,SARVODAYA PARSHWANATH NGR.,19.1604225521,72.9461581476
621,MUKESH CHK.(UMAR PARK/TATA GARDEN),18.9652945691,72.8039566072
876,GOL MANDIR,18.9580754629,72.8284204413
3726,JARIMARI MATA MANDIR/S.T.OFFICE,18.9917588051,72.8141154633
3445,SUKH SAGAR,18.9561533962,72.8136228082
152,JAIN SCTY.,19.0388187232,72.8614136529
1198,DURGA NGR.,19.1369811428,72.8730424858
1557,IRANI WADI,19.2008538493,72.8412711746
4902,VEER HANUMAN NAGAR,19.2547232579,72.8545366754
961,ORIENTAL BANK/ S.SAMARTH NGR MARKET,19.141007274,72.8276722485
4920,HINDUSTAN MILL,18.9794181871,72.8268832872
780,PHOENIX MILL,18.994809588,72.8255180083
2716,DOCKYARD RD.RLY.STN.,18.965692011,72.8441374502
4116,NERUL VILLAGE,19.036739893,73.0151413299
4387,KOPARI TEL.EXCHANGE,19.1810359581,72.9730315496
849,SHARDA CINEMA,19.0141741156,72.8460688808
4427,SANTACRUZ STN.RD.,19.0826113969,72.8382289161
2653,RAJHANS SCTY.,19.2391167447,72.8582077283
3900,DURGA NGR.(KANDIVLI-E),19.1938809105,72.8682688572
2989,AMARNATH PATIL SPORT COMP/ BANGANGA,19.0499543199,72.9144219946
1915,KHOT RD.,19.1472023193,72.9353815786
3930,SIDDHIVINAYAK TOWER,19.2090009867,72.9736441162
2618,POLICE STN./CHHOTA KASHMIR,19.1609830512,72.8728749314
1334,ANAND HOSPITAL,19.2579836555,72.8629669827
2051,AKSHAY,19.0467094,72.8592389
3416,BEST OFFICER QUARTERS,19.2226079486,72.8377265003
2872,BHAVISHYA NIDHI BHAVAN,19.2153306937,72.8316611256
612,JUHU PRABHAT,19.1192328816,72.8280810818
2087,KRISHNA BUILDING,19.1872888169,72.8387050438
4590,RAMADA HOTEL (POWAI),19.1367514204,72.8984178493
3203,NOVELTY SILK MILL,19.2544791629,72.8645763081
4494,MORVAGAON,19.2919880635,72.8140529649
829,S BRIDGE/MANDLIK CHK.,18.9796906391,72.8320003032
5136,AAREY ROAD SUBWAY,19.0759837,72.8776559
4519,V.J.T.I.COLLEGE,19.0243785722,72.8571557607
4486,MUMBRA POLICE STN.,19.1841455963,73.0223571461
4359,MASRANI EST.,19.0761349248,72.882391495
467,BALKANJI BARI SCHOOL,19.0849616749,72.8319407149
4877,KURAR VILLAGE,19.1893640146,72.8665438183
4603,VOLTAS,19.2179565428,72.9705878019
2517,MOVIE TIME CINEMA,19.1890975192,72.8343855665
921,HILL RD.GARDEN/MEHBOOB STUDIO,19.0523885175,72.8240662729
4271,GOREGAON CHECK NAKA NO 1,19.1663164481,72.8588859819
351,PUNJAB WADI,19.0453762076,72.9156787573
4033,KAMOTHE VILLAGE/MANSAROVAR,19.0272272335,73.0938547112
