,trip_id,route_id,route_type,start_time,start_lat,start_lon,end_time,end_lat,end_lon,duration,operator,bearing
14856,697,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 00:06:00,19.2354082,73.131024,360.0,rail,73.1551489459
16512,749,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 20:15:00,19.218328,73.0868268,72900.0,rail,31.7560321231
16507,749,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 20:03:00,19.1860408,72.9758837,72180.0,rail,21.1752874688
16501,749,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 19:48:00,19.0856491,72.9082207,71280.0,rail,59.8153286205
16496,749,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 19:35:00,19.0172909,72.8434865,70500.0,rail,34.3546197251
12542,622,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 07:31:00,19.1860408,72.9758837,27060.0,rail,21.1752874688
13534,656,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 08:48:00,19.218328,73.0868268,31680.0,rail,31.7560321231
16514,749,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 20:22:00,19.2354082,73.131024,73320.0,rail,73.1551489459
12536,622,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 07:17:00,19.0856491,72.9082207,26220.0,rail,59.8153286205
10313,534,Central Line,rail,2017-06-05 00:00:00,19.1546597,72.9466564,2017-06-05 10:43:00,19.1565109,72.9637728,38580.0,rail,83.4684783697
10311,534,Central Line,rail,2017-06-05 00:00:00,19.1282039,72.928065,2017-06-05 10:38:00,19.1423572,72.9377517,38280.0,rail,32.8865926418
10308,534,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 10:33:00,19.0856491,72.9082207,37980.0,rail,59.8153286205
10306,534,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 10:28:00,19.0655986,72.8791535,37680.0,rail,38.3921476834
10303,534,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 10:20:00,19.0172909,72.8434865,37200.0,rail,34.3546197251
10299,534,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 10:14:00,18.9766017,72.8326658,36840.0,rail,337.912203953
10356,537,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 10:35:00,18.9766017,72.8326658,38100.0,rail,337.912203953
10275,532,Central Line,rail,2017-06-05 00:00:00,19.1546597,72.9466564,2017-06-05 10:26:00,19.1565109,72.9637728,37560.0,rail,83.4684783697
13746,663,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 11:50:00,19.2354082,73.131024,42600.0,rail,73.1551489459
13744,663,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 11:41:00,19.218328,73.0868268,42060.0,rail,31.7560321231
16402,746,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 17:31:00,19.1860408,72.9758837,63060.0,rail,21.1752874688
16396,746,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 17:17:00,19.0856491,72.9082207,62220.0,rail,59.8153286205
16479,748,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 21:48:00,19.2354082,73.131024,78480.0,rail,73.1551489459
13701,662,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 10:36:00,19.0655986,72.8791535,38160.0,rail,38.3921476834
16492,749,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 19:28:00,18.9766017,72.8326658,70080.0,rail,337.912203953
16499,749,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 19:43:00,19.0655986,72.8791535,70980.0,rail,38.3921476834
16527,750,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 00:22:00,19.0655986,72.8791535,1320.0,rail,38.3921476834
13709,662,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 10:55:00,19.1860408,72.9758837,39300.0,rail,21.1752874688
13728,663,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 11:01:00,19.0172909,72.8434865,39660.0,rail,34.3546197251
13731,663,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 11:09:00,19.0655986,72.8791535,40140.0,rail,38.3921476834
13733,663,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 11:14:00,19.0856491,72.9082207,40440.0,rail,59.8153286205
12629,625,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 09:30:00,19.1860408,72.9758837,34200.0,rail,21.1752874688
13739,663,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 11:28:00,19.1860408,72.9758837,41280.0,rail,21.1752874688
16529,750,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 00:27:00,19.0856491,72.9082207,1620.0,rail,59.8153286205
13724,663,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 10:55:00,18.9766017,72.8326658,39300.0,rail,337.912203953
10273,532,Central Line,rail,2017-06-05 00:00:00,19.1282039,72.928065,2017-06-05 10:21:00,19.1423572,72.9377517,37260.0,rail,32.8865926418
10270,532,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 10:16:00,19.0856491,72.9082207,36960.0,rail,59.8153286205
10268,532,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 10:11:00,19.0655986,72.8791535,36660.0,rail,38.3921476834
10886,559,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 21:54:00,19.0655986,72.8791535,78840.0,rail,38.3921476834
10883,559,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 21:46:00,19.0172909,72.8434865,78360.0,rail,34.3546197251
10879,559,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 21:40:00,18.9766017,72.8326658,78000.0,rail,337.912203953
10370,537,Central Line,rail,2017-06-05 00:00:00,19.1546597,72.9466564,2017-06-05 11:04:00,19.1565109,72.9637728,39840.0,rail,83.4684783697
10365,537,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 10:54:00,19.0856491,72.9082207,39240.0,rail,59.8153286205
10230,530,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 09:55:00,19.0655986,72.8791535,35700.0,rail,38.3921476834
10888,559,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 21:59:00,19.0856491,72.9082207,79140.0,rail,59.8153286205
10227,530,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 09:47:00,19.0172909,72.8434865,35220.0,rail,34.3546197251
13477,654,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 00:20:00,19.2354082,73.131024,1200.0,rail,73.1551489459
13484,655,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 06:23:00,18.9766017,72.8326658,22980.0,rail,337.912203953
13488,655,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 06:29:00,19.0172909,72.8434865,23340.0,rail,34.3546197251
13491,655,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 06:37:00,19.0655986,72.8791535,23820.0,rail,38.3921476834
13493,655,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 06:42:00,19.0856491,72.9082207,24120.0,rail,59.8153286205
12531,622,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 07:04:00,19.0172909,72.8434865,25440.0,rail,34.3546197251
10223,530,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 09:41:00,18.9766017,72.8326658,34860.0,rail,337.912203953
10891,559,Central Line,rail,2017-06-05 00:00:00,19.1282039,72.928065,2017-06-05 22:07:00,19.1423572,72.9377517,79620.0,rail,32.8865926418
10894,559,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 22:17:00,19.1860408,72.9758837,80220.0,rail,21.1752874688
13442,653,Central Line,rail,2017-06-05 00:00:00,19.1860408,72.9758837,2017-06-05 00:04:00,19.1953173,72.9967104,240.0,rail,64.7504078463
10265,532,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 10:03:00,19.0172909,72.8434865,36180.0,rail,34.3546197251
10261,532,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 09:57:00,18.9766017,72.8326658,35820.0,rail,337.912203953
10237,530,Central Line,rail,2017-06-05 00:00:00,19.1546597,72.9466564,2017-06-05 10:10:00,19.1565109,72.9637728,36600.0,rail,83.4684783697
10235,530,Central Line,rail,2017-06-05 00:00:00,19.1282039,72.928065,2017-06-05 10:05:00,19.1423572,72.9377517,36300.0,rail,32.8865926418
