user,text,latitude,longitude,created_at,hastags
TrendsMumbai,"#shadyback is now trending in #Mumbai

https://t.co/Ocrob0ZP6k https://t.co/VzXT3fjhCC",19.0728,72.8826,Fri Nov 10 21:44:52 +0000 2017,"[u'shadyback', u'Mumbai']"
chubbytime,"""A Goan, a Gujju and a Delhi Boy walked into a bar....""
.
#MischiefInAction #MIA #Trio? https://t.co/rlvw8JH0q1",19.076,72.8777,Fri Nov 10 21:30:05 +0000 2017,"[u'MischiefInAction', u'MIA', u'Trio']"
rahulbalanadu,"Boys night #mumbai #nevergetsold #schoolmemories #nevergrowup #nosognificantothers @ Mumbai,? https://t.co/eniVXQQkq5",19.076,72.8777,Fri Nov 10 21:15:03 +0000 2017,"[u'mumbai', u'nevergetsold', u'schoolmemories', u'nevergrowup', u'nosognificantothers']"
FuzzCulture,Tonight FuzzCulture goes live at the mumbai edition of gig week! Tired but excited :) @ Bonobo -? https://t.co/Zf6pfYrsiV,19.06545866,72.83390318,Fri Nov 10 21:14:22 +0000 2017,[]
nraichura,"Season's first event Get 2gethee family members Dinner Celebrations.
Book your wedding, at the? https://t.co/WFU3CsWnyE",19.05213119,72.8918645,Fri Nov 10 21:03:35 +0000 2017,[]
TrendsMumbai,"'sanitary' &amp; 'napkins' are now trending in #Mumbai

https://t.co/6SIyu8zJBe https://t.co/bIcDQCuWDl",19.0728,72.8826,Fri Nov 10 20:54:52 +0000 2017,[u'Mumbai']
iyaysays,Goodmorning??,19.0887594,72.8947346,Fri Nov 10 20:47:34 +0000 2017,[]
TrendsmapIndia,"BEYONC?, @beyonce is now trending in India

https://t.co/pP7P2zImqA https://t.co/CgjJSkaKQY",19.0728,72.8826,Fri Nov 10 20:44:43 +0000 2017,[]
AamanTrikha,Off to Bangkok for a show &amp; guess who I bumped into one &amp; only whosunilgrover bhaji aka Dr? https://t.co/1ldK7dagkv,19.09695536,72.87370338,Fri Nov 10 20:19:25 +0000 2017,[]
TrendsmapIndia,"Phantom Films, @fuhsephantom is now trending in India

https://t.co/Ee3onb3ZkT https://t.co/1xgp0eqRSu",19.0728,72.8826,Fri Nov 10 20:10:12 +0000 2017,[]
TrendsmapIndia,"#ekdilekjaan is now trending in India

https://t.co/petqQsj23H https://t.co/kPJ5q7hIL6",19.0728,72.8826,Fri Nov 10 20:09:57 +0000 2017,[u'ekdilekjaan']
HalfAComic,The #Habitat is great venue for #StandUp @ The Habitat - Comedy and Music Cafe https://t.co/1G5FBFIy9z,19.07032136,72.83978999,Fri Nov 10 19:51:54 +0000 2017,"[u'Habitat', u'StandUp']"
TrendsmapIndia,"#padmavatiparanoia is now trending in India

https://t.co/iIUrCOmqjP https://t.co/85d8NE9JZG",19.0728,72.8826,Fri Nov 10 19:28:48 +0000 2017,[u'padmavatiparanoia']
TrendsmapIndia,"#rafia is now trending in India

https://t.co/sNQglxRjh7 https://t.co/rjJs4YIwJ5",19.0728,72.8826,Fri Nov 10 19:28:34 +0000 2017,[u'rafia']
TrendsmapIndia,"#gstratecut is now trending in India

https://t.co/fzDT9gyr03 https://t.co/usC29fu8NW",19.0728,72.8826,Fri Nov 10 19:06:26 +0000 2017,[u'gstratecut']
TrendsmapIndia,"#shadyback is now trending in India

https://t.co/nNusWfeN2g https://t.co/MXQ4QusZ7q",19.0728,72.8826,Fri Nov 10 19:06:11 +0000 2017,[u'shadyback']
down2hearth,See you on Sunday for the grande finale of #theahimsafest2017! Stall #1 in the A/c? https://t.co/CfKkvAvaMp,19.07255,72.83749,Fri Nov 10 18:59:40 +0000 2017,[u'theahimsafest2017']
reddevil_rajat,"I'm at Terminal 2 - @csiamumbai in Mumbai, Maharashtra https://t.co/IfYjwe3MwV",19.09904724,72.87481224,Fri Nov 10 18:49:55 +0000 2017,[]
CaffeinatedBook,Metropolis out of control #mumbai #everydaymumbai #cityofdreams #trafficsignal @ Santacruz? https://t.co/EZaPYLak9C,19.07010968,72.90619722,Fri Nov 10 18:42:02 +0000 2017,"[u'mumbai', u'everydaymumbai', u'cityofdreams', u'trafficsignal']"
Ningbadabing,"Quite a hot mess over here ?? (@ Chhatrapati Shivaji International Airport - @csiamumbai in Mumbai, Maharashtra) https://t.co/U1zJ5oi1cq",19.09050891,72.86514759,Fri Nov 10 18:41:40 +0000 2017,[]
netrakale09,"Happy weekend beautiful people !!?? Smile. Laugh. Love ??
Don't ever forget that you are beautiful? https://t.co/2WUgkxnKae",19.076,72.8777,Fri Nov 10 18:41:12 +0000 2017,[]
nikhil_merchant,"I'm at Chhatrapati Shivaji International Airport - @csiamumbai in Mumbai, Maharashtra https://t.co/lnZprrDbYX",19.09050891,72.86514759,Fri Nov 10 18:25:36 +0000 2017,[]
reddevil_rajat,"I'm at Chhatrapati Shivaji International Airport - @csiamumbai in Mumbai, Maharashtra https://t.co/qHjEkBmy1u",19.09050891,72.86514759,Fri Nov 10 18:23:56 +0000 2017,[]
reddevil_rajat,I'm at Mumbai in Mah?r?shtra https://t.co/Hpx7MSlvY0,19.06679857,72.86803366,Fri Nov 10 18:23:18 +0000 2017,[]
TrendsmapIndia,"#padmavatistunt is now trending in India

https://t.co/wLmi23FT7r https://t.co/iSGSofn4o2",19.0728,72.8826,Fri Nov 10 18:22:44 +0000 2017,[u'padmavatistunt']
TrendsmapIndia,"#revival is now trending in India

https://t.co/KMYOP32AKt https://t.co/pAOB0GBHPO",19.0728,72.8826,Fri Nov 10 18:22:30 +0000 2017,[u'revival']
vijaya421,#missdiva2017 #missindiauniverse #finalist #actor #model #delhi #mumbai #colorsinfinity #episode? https://t.co/7OGMz0BVh2,19.076,72.8777,Fri Nov 10 18:20:38 +0000 2017,"[u'missdiva2017', u'missindiauniverse', u'finalist', u'actor', u'model', u'delhi', u'mumbai', u'colorsinfinity', u'episode']"
BrainStorm__,Don't know who was that guy.. but that look he gave.. with his awesome beard was super cool? https://t.co/mkI98ooT8J,19.058711,72.899694,Fri Nov 10 18:08:43 +0000 2017,[]
ImPKshinning,Beauty is what you feel from within ????? #igers #instaactor #instapiercing #loveforpiercings? https://t.co/TXREvAi7Bx,19.076,72.8777,Fri Nov 10 18:06:16 +0000 2017,"[u'igers', u'instaactor', u'instapiercing', u'loveforpiercings']"
shashiskashyap,"_BandraDemolitionDrive_

A fire broke out in a slum near Bandra Station, Mumbai on 26 October? https://t.co/sEIwOYATwE",19.076,72.8777,Fri Nov 10 18:05:16 +0000 2017,[]
TrendsmapIndia,"#walkonwater is now trending in India

https://t.co/3l53G3U9Es https://t.co/RBijgATRvN",19.0728,72.8826,Fri Nov 10 18:00:23 +0000 2017,[u'walkonwater']
TrendsmapIndia,"#credittorahulgandhi is now trending in India

https://t.co/rBGwR3WD9z https://t.co/OpIcf5lCHu",19.0728,72.8826,Fri Nov 10 18:00:02 +0000 2017,[u'credittorahulgandhi']
ImPKshinning,Beauty is what you feel from within ????? #igers #instaactor #instapiercing #loveforpiercings? https://t.co/gB1rfqA26M,19.076,72.8777,Fri Nov 10 17:57:30 +0000 2017,"[u'igers', u'instaactor', u'instapiercing', u'loveforpiercings']"
ramlakhan_meena,@JeetuDungarjal @sagrikaofficial @DineshY53277147 @DHANRAJ4455 @DHANRAJ99194444 @KamalMeena93  mumbai to delhi https://t.co/mD0KvvfkDW,19.0893856,72.8611025,Fri Nov 10 17:48:15 +0000 2017,[]
ramlakhan_meena,@JeetuDungarjal @sagrikaofficial @DineshY53277147 @DHANRAJ4455 @DHANRAJ99194444 @KamalMeena93  mumbai to delhi https://t.co/mD0KvvfkDW,19.0893856,72.8611025,Fri Nov 10 17:48:15 +0000 2017,[]
sujatawde,#oppof5 @ R City https://t.co/b4poXuRnL6,19.09958477,72.91673761,Fri Nov 10 17:45:19 +0000 2017,[u'oppof5']
MalharPandya9,This video itself is a proof that how rocking was my b?day bash.Thank you each one of you for? https://t.co/gED55x6x98,19.076,72.8777,Fri Nov 10 17:38:39 +0000 2017,[]
